timestamp,player_index,packets_received,packets_sent,x,y,is_it
183434,0,8573,8573,241.417,695.859,0
183434,1,8111,8111,96.1268,471.264,1
183498,0,8575,8575,241.417,695.859,0
183498,1,8113,8113,96.1268,471.264,1
183562,0,8577,8577,241.417,695.859,0
183562,1,8115,8115,96.1268,471.264,1
183625,0,8580,8580,241.417,695.859,0
183625,1,8117,8117,96.1268,471.264,1
183681,0,8582,8582,241.417,695.859,0
183681,1,8120,8120,96.1268,471.264,1
183744,0,8584,8584,241.417,695.859,0
183744,1,8122,8122,96.1268,471.264,1
183806,0,8586,8586,241.417,695.859,0
183806,1,8124,8124,96.1268,471.264,1
183870,0,8588,8588,241.417,695.859,0
183870,1,8126,8126,96.1268,471.264,1
183934,0,8591,8591,241.417,695.859,0
183934,1,8128,8128,96.1268,471.264,1
183997,0,8593,8593,241.417,695.859,0
183997,1,8130,8130,96.1268,471.264,1
184060,0,8595,8595,241.417,695.859,0
184060,1,8133,8133,96.1268,471.264,1
184124,0,8597,8597,241.417,695.859,0
184124,1,8135,8135,96.1268,471.264,1
184185,0,8599,8599,241.417,695.859,0
184185,1,8137,8137,96.1268,471.264,1
184243,0,8601,8601,241.417,695.859,0
184243,1,8139,8139,96.1268,471.264,1
184306,0,8603,8603,241.417,695.859,0
184306,1,8141,8141,96.1268,471.264,1
184388,0,8604,8604,241.417,695.859,0
184388,1,8142,8142,96.1268,471.264,1
184446,0,8607,8607,241.417,695.859,0
184446,1,8145,8145,96.1268,471.264,1
184508,0,8609,8609,241.417,695.859,0
184508,1,8147,8147,96.1268,471.264,1
184571,0,8611,8611,241.417,695.859,0
184571,1,8149,8149,96.1268,471.264,1
184634,0,8613,8613,241.417,695.859,0
184634,1,8151,8151,96.1268,471.264,1
184697,0,8615,8615,241.417,695.859,0
184697,1,8153,8153,96.1268,471.264,1
184759,0,8617,8617,241.417,695.859,0
184759,1,8155,8155,96.1268,471.264,1
184821,0,8619,8619,241.417,695.859,0
184821,1,8157,8157,96.1268,471.264,1
184883,0,8621,8621,241.417,695.859,0
184883,1,8159,8159,96.1268,471.264,1
184936,0,8623,8623,241.417,695.859,0
184936,1,8161,8161,96.1268,471.264,1
184995,0,8625,8625,241.417,695.859,0
184995,1,8163,8163,96.1268,471.264,1
185059,0,8627,8627,241.417,695.859,0
185059,1,8165,8165,96.1268,471.264,1
185122,0,8629,8629,241.417,695.859,0
185122,1,8167,8167,96.1268,471.264,1
185185,0,8631,8631,241.417,695.859,0
185185,1,8169,8169,96.1268,471.264,1
185248,0,8633,8633,241.417,695.859,0
185248,1,8172,8172,96.1268,471.264,1
185310,0,8635,8635,241.417,695.859,0
185310,1,8174,8174,96.1268,471.264,1
185404,0,8638,8638,241.417,695.859,0
185404,1,8177,8177,96.1268,471.264,1
185466,0,8640,8640,241.417,695.859,0
185466,1,8179,8179,96.1268,471.264,1
185527,0,8642,8642,241.417,695.859,0
185527,1,8181,8181,96.1268,471.264,1
185589,0,8644,8644,241.417,695.859,0
185589,1,8183,8183,96.1268,471.264,1
185653,0,8646,8646,241.417,695.859,0
185653,1,8185,8185,96.1268,471.264,1
185717,0,8648,8648,241.417,695.859,0
185717,1,8187,8187,96.1268,471.264,1
185778,0,8650,8650,241.417,695.859,0
185778,1,8189,8189,96.1268,471.264,1
185860,0,8652,8652,241.417,695.859,0
185860,1,8190,8190,96.1268,471.264,1
185926,0,8655,8655,241.417,695.859,0
185926,1,8193,8193,96.1268,471.264,1
185992,0,8657,8657,241.417,695.859,0
185992,1,8195,8195,96.1268,471.264,1
186055,0,8659,8659,241.417,695.859,0
186055,1,8197,8197,96.1268,471.264,1
186113,0,8661,8661,241.417,695.859,0
186113,1,8199,8199,96.1268,471.264,1
186176,0,8664,8664,241.417,695.859,0
186176,1,8201,8201,96.1268,471.264,1
186240,0,8666,8666,241.417,695.859,0
186240,1,8203,8203,96.1268,471.264,1
186301,0,8668,8668,241.417,695.859,0
186301,1,8205,8205,96.1268,471.264,1
186363,0,8670,8670,241.417,695.859,0
186363,1,8208,8208,96.1268,471.264,1
186427,0,8672,8672,241.417,695.859,0
186427,1,8210,8210,96.1268,471.264,1
186488,0,8674,8674,241.417,695.859,0
186488,1,8212,8212,96.1268,471.264,1
186553,0,8677,8677,241.417,695.859,0
186553,1,8214,8214,96.1268,471.264,1
186616,0,8679,8679,241.417,695.859,0
186616,1,8216,8216,96.1268,471.264,1
186682,0,8681,8681,241.417,695.859,0
186682,1,8219,8219,96.1268,471.264,1
186743,0,8683,8683,241.417,695.859,0
186743,1,8221,8221,96.1268,471.264,1
186807,0,8685,8685,241.417,695.859,0
186807,1,8223,8223,96.1268,471.264,1
186869,0,8687,8687,241.417,695.859,0
186869,1,8225,8225,96.1268,471.264,1
186935,0,8689,8689,241.417,695.859,0
186935,1,8227,8227,96.1268,471.264,1
186994,0,8692,8692,241.417,695.859,0
186994,1,8230,8230,96.1268,471.264,1
187057,0,8694,8694,241.417,695.859,0
187057,1,8232,8232,96.1268,471.264,1
187112,0,8696,8696,241.417,695.859,0
187112,1,8234,8234,96.1268,471.264,1
187207,0,8700,8700,241.417,695.859,0
187207,1,8237,8237,96.1268,471.264,1
187270,0,8702,8702,241.417,695.859,0
187270,1,8239,8239,96.1268,471.264,1
187333,0,8704,8704,241.417,695.859,0
187333,1,8241,8241,96.1268,471.264,1
187394,0,8706,8706,241.417,695.859,0
187394,1,8243,8243,96.1268,471.264,1
187457,0,8708,8708,241.417,695.859,0
187457,1,8245,8245,96.1268,471.264,1
187521,0,8710,8710,241.417,695.859,0
187521,1,8247,8247,96.1268,471.264,1
187584,0,8712,8712,241.417,695.859,0
187584,1,8249,8249,96.1268,471.264,1
187648,0,8714,8714,241.417,695.859,0
187648,1,8251,8251,96.1268,471.264,1
187700,0,8716,8716,241.417,695.859,0
187700,1,8253,8253,96.1268,471.264,1
187766,0,8719,8719,241.417,695.859,0
187766,1,8256,8256,96.1268,471.264,1
187828,0,8721,8721,241.417,695.859,0
187828,1,8258,8258,96.1268,471.264,1
187889,0,8723,8723,241.417,695.859,0
187889,1,8260,8260,96.1268,471.264,1
187952,0,8725,8725,241.417,695.859,0
187952,1,8262,8262,96.1268,471.264,1
188008,0,8727,8727,241.417,695.859,0
188008,1,8264,8264,96.1268,471.264,1
188072,0,8729,8729,241.417,695.859,0
188072,1,8267,8267,96.1268,471.264,1
188137,0,8731,8731,241.417,695.859,0
188137,1,8269,8269,96.1268,471.264,1
188198,0,8733,8733,241.417,695.859,0
188198,1,8271,8271,96.1268,471.264,1
188260,0,8735,8735,241.417,695.859,0
188260,1,8273,8273,96.1268,471.264,1
188313,0,8737,8737,241.417,695.859,0
188313,1,8275,8275,96.1268,471.264,1
188376,0,8740,8740,241.417,695.859,0
188376,1,8277,8277,96.1268,471.264,1
188431,0,8742,8742,241.417,695.859,0
188431,1,8279,8279,96.1268,471.264,1
188486,0,8744,8744,241.417,695.859,0
188486,1,8281,8281,96.1268,471.264,1
188580,0,8747,8747,241.417,695.859,0
188580,1,8285,8285,96.1268,471.264,1
188643,0,8749,8749,241.417,695.859,0
188643,1,8287,8287,96.1268,471.264,1
188695,0,8751,8751,241.417,695.859,0
188695,1,8289,8289,96.1268,471.264,1
188746,0,8754,8754,241.417,695.859,0
188746,1,8291,8291,96.1268,471.264,1
188810,0,8756,8756,241.417,695.859,0
188810,1,8293,8293,96.1268,471.264,1
188864,0,8758,8758,241.417,695.859,0
188864,1,8295,8295,96.1268,471.264,1
188930,0,8761,8761,241.417,695.859,0
188930,1,8298,8298,96.1268,471.264,1
188993,0,8763,8763,241.417,695.859,0
188993,1,8300,8300,96.1268,471.264,1
189055,0,8765,8765,241.417,695.859,0
189055,1,8302,8302,96.1268,471.264,1
189106,0,8767,8767,241.417,695.859,0
189106,1,8303,8303,96.1268,471.264,1
189168,0,8769,8769,241.417,695.859,0
189168,1,8306,8306,96.1268,471.264,1
189231,0,8772,8772,241.417,695.859,0
189231,1,8308,8308,96.1268,471.264,1
189294,0,8774,8774,241.417,695.859,0
189294,1,8310,8310,96.1268,471.264,1
189358,0,8776,8776,241.417,695.859,0
189358,1,8312,8312,96.1268,471.264,1
189422,0,8778,8778,241.417,695.859,0
189422,1,8314,8314,96.1268,471.264,1
189485,0,8780,8780,241.417,695.859,0
189485,1,8317,8317,96.1268,471.264,1
189549,0,8782,8782,241.417,695.859,0
189549,1,8319,8319,96.1268,471.264,1
189613,0,8784,8784,241.417,695.859,0
189613,1,8321,8321,96.1268,471.264,1
189677,0,8786,8786,241.417,695.859,0
189677,1,8322,8322,96.1268,471.264,1
189739,0,8789,8789,241.417,695.859,0
189739,1,8326,8326,96.1268,471.264,1
189803,0,8791,8791,241.417,695.859,0
189803,1,8328,8328,96.1268,471.264,1
189866,0,8794,8794,241.417,695.859,0
189866,1,8331,8331,96.1268,471.264,1
189928,0,8796,8796,241.417,695.859,0
189928,1,8333,8333,96.1268,471.264,1
189991,0,8798,8798,241.417,695.859,0
189991,1,8335,8335,96.1268,471.264,1
190054,0,8800,8800,241.417,695.859,0
190054,1,8337,8337,96.1268,471.264,1
190118,0,8802,8802,241.417,695.859,0
190118,1,8339,8339,96.1268,471.264,1
190180,0,8804,8804,241.417,695.859,0
190180,1,8341,8341,96.1268,471.264,1
190245,0,8806,8806,241.417,695.859,0
190245,1,8343,8343,96.1268,471.264,1
190307,0,8808,8808,241.417,695.859,0
190307,1,8345,8345,96.1268,471.264,1
190372,0,8811,8811,241.417,695.859,0
